pattern_id,category,rule,test_question,violation_example,fix_example,source
ai-font-default,typography,Don't use Inter/Roboto/Arial/Open Sans as primary heading font. These are AI-generation defaults that signal generic output.,Is the heading font one of the 'AI default' set?,h1 in Inter — looks like every ChatGPT-generated landing page,Plus Jakarta Sans / Outfit / Manrope / DM Sans / Geist as primary,OilOil
ai-color-pure,color,No pure #000000 or #FFFFFF or #888888. Pure values look flat and synthetic. Use tinted neutrals.,Are any background/text colors pure black/white/grey?,Background: #000000 with text: #FFFFFF — harsh and generic,Background: #0C0322 (tinted dark) with text: #FAFAFC (warm white),OilOil
ai-color-indigo,color,Avoid default #6366F1 indigo / #3B82F6 blue as primary accent. These are the most common AI-generated brand colors.,Is the primary accent a default Tailwind blue/indigo/violet?,Primary button in #6366F1 — indistinguishable from every SaaS template,Distinctive brand purple #461499 or custom-mixed accent,OilOil + Bencium
ai-gradient-generic,color,No purple-to-blue or pink-to-purple background gradients. Max 1 decorative gradient per page.,Does the page use a generic gradient hero or multiple decorative gradients?,Hero background: linear-gradient(135deg #667eea #764ba2) — the most overused AI gradient,Solid dark bg with subtle texture or single-color gradient with brand tint,OilOil
everything-in-cards,layout,Not everything needs a card wrapper. Use typography hierarchy and spacing to create structure. Cards should group genuinely related content.,Could I remove this card border/background and the content still makes sense via spacing alone?,Every paragraph and icon wrapped in its own rounded-corner card — visual noise,Use section padding + heading hierarchy. Reserve cards for genuinely grouped content,OilOil
card-in-card,layout,Never nest a card inside a card. Flatten the visual hierarchy. If content needs sub-grouping use spacing or subtle dividers.,Is there a bordered/shadowed element inside another bordered/shadowed element?,Feature card containing a nested stats card with its own border and shadow,Flatten: remove inner card styling. Use background tint or divider line instead,OilOil
same-grid-everywhere,layout,Don't use identical column grids for every section. Vary the rhythm: 2-col then 3-col then full-width then asymmetric.,Are 3+ consecutive sections using the same column layout?,Six sections all using 3-column equal-width grids — monotonous scroll,Alternate: 2-col split → 3-col cards → full-width quote → asymmetric bento,OilOil + Bencium
pill-radius-excess,styling,Border-radius > 16px on non-pill elements looks toy-like. Buttons: 6-12px. Cards: 8-16px. Only pills/tags use full rounding.,Are cards or containers using border-radius > 16px?,Content cards with border-radius: 24px — looks like a children's app,Cards: rounded-xl (12px). Buttons: rounded-lg (8px). Only badges use rounded-full,OilOil
decoration-justification,philosophy,Every visual effect must answer: what does this help the user understand or do? No answer = delete the effect.,Can I explain what this gradient/glow/animation helps the user accomplish?,Floating gradient orbs that don't relate to any content or guide attention,Glow behind CTA to draw attention to the action (justified). Random particle animation (unjustified — delete),OilOil
copy-necessity,content,If the user can understand the purpose via layout/icon/position alone — the explanatory text is redundant. Delete it.,If I remove this text does the user lose any understanding?,Label 'Click here to submit' on a clearly styled Submit button,Remove redundant label. The button style + position + 'Submit' text is sufficient,OilOil
emoji-as-icons,visual,Never use emoji as functional UI icons. Emoji render differently across OS/browser and look unprofessional.,Are any interactive elements using emoji instead of SVG icons?,📧 as the contact link icon — renders differently on every platform,Use Lucide/Heroicons/Phosphor SVG icon set for consistent rendering,OilOil + ui-ux-pro-max
shadow-without-purpose,depth,Shadows imply physical elevation. Only use shadow when an element genuinely floats above others (modals dropdowns cards).,Does this shadow represent real elevation or is it decorative?,Box-shadow on every section container — nothing actually 'floats',Reserve shadow for cards that overlap content + modals + dropdowns. Flat sections get no shadow,Bencium
orphan-animation,motion,Decorative continuous animation with no user trigger is distraction. Animation should respond to user action or convey state change.,Does this animation fire without user interaction AND serve no informational purpose?,Floating particles / pulsing circles running continuously in the background,Remove or tie to scroll position / hover / load-once. Background texture (static) instead of animation,OilOil + animation.csv
generic-hero-pattern,layout,Avoid the default AI hero: centered h1 + centered subtitle + single CTA + gradient background. Differentiate with asymmetry or content.,Does this hero look like it could be any product's landing page?,Centered 'Welcome to Our Platform' + 'Get Started' button on gradient — could be anything,Asymmetric hero with product visual + specific value prop + social proof element,Bencium + OilOil
no-whitespace-fear,spacing,Empty space is a design feature not a bug. Don't fill every pixel. Generous padding signals premium quality.,Am I adding this element because it improves the page or because the space 'felt empty'?,Cramming a testimonial carousel into the gap between pricing and footer because 'there was space',Let the spacing breathe. py-24 between sections. Whitespace = premium signal,Bencium
