law_name,category,rule,how_to_apply,violation_example,applies_to
fitts-law,motor,Target size proportional to importance and inversely proportional to distance from cursor. Important actions = large + close.,Make primary CTAs the largest clickable element in their section. Place them near the content that motivates the click.,Tiny 'Buy Now' button tucked in a corner far from the pricing info,all interactive elements
hicks-law,cognition,Decision time increases logarithmically with number of choices. Limit options per view to 5-7.,Navigation: max 7 top-level items. Pricing: max 3-4 tiers. Feature grids: group into categories rather than flat lists.,Navigation with 15 ungrouped links causing choice paralysis,navigation + pricing + feature lists
millers-law,memory,Working memory holds 7±2 items. Chunk information into digestible groups.,Break long lists into groups of 3-5. Use visual separators between groups. Limit card grids to 3-4 per row.,Speaker lineup showing 12 headshots in a single unbroken grid,card grids + lists + navigation
jakobs-law,familiarity,Users spend most time on OTHER sites. They expect yours to work the same way.,Use conventional patterns: logo top-left links to home. Nav at top. Search with magnifying glass icon. Cart top-right.,Custom hamburger menu on desktop where users expect horizontal nav,navigation + forms + checkout
gestalt-proximity,perception,Items close together are perceived as related. Items far apart are perceived as separate.,Use tighter spacing within groups (8-12px) and wider spacing between groups (24-48px). Related form fields closer together.,Equal spacing everywhere — user can't tell which label belongs to which input,all layouts
gestalt-similarity,perception,Items that look alike are perceived as having the same function. Same role = same visual treatment.,All CTAs same style. All info cards same structure. Don't make one card in a grid look different unless it IS different.,Three pricing cards where the recommended one uses completely different typography and layout,cards + buttons + links
von-restorff,attention,The item that differs from the rest is most memorable. Use isolation for the ONE thing you want users to remember.,Highlight the primary CTA with a different color. Make the recommended pricing tier visually distinct. Use a single accent color sparingly.,Every element competing for attention with different colors and animations — nothing stands out,CTAs + pricing + key messages
peak-end-rule,experience,Users judge an experience by its peak moment and its ending — not the average. Nail the hero and the final CTA.,Invest most design effort in the hero section (first impression) and the closing CTA section (lasting impression). Middle sections can be simpler.,Beautiful hero but the page trails off into a generic footer with no closing statement,landing pages + onboarding
zeigarnik-effect,motivation,Incomplete tasks occupy the mind more than completed ones. Show progress to maintain engagement.,Use progress indicators in multi-step flows. Show completion percentage. Partially reveal content to motivate scrolling.,Multi-step form with no indication of how many steps remain or how far along the user is,forms + onboarding + wizards
doherty-threshold,responsiveness,System response under 400ms feels instant. Anything slower needs visual feedback.,Add loading states for any action taking >400ms. Use skeleton screens not spinners. Optimistic UI updates for common actions.,Button click with no feedback for 2 seconds while API call completes — user clicks again,all interactive elements
