technique,category,css_property,value,explanation,applies_to,source
concentric-radius,Geometry,border-radius,outer = inner + padding,Nested elements must have mathematically correct radius — outer radius equals inner radius plus the padding between them,Cards inside cards and buttons inside containers and any nested rounded elements,jakubkrehel
font-smoothing,Typography,-webkit-font-smoothing,antialiased,Crisper text rendering on macOS — prevents subpixel antialiasing which looks blurry on dark backgrounds,All text globally — add to body or root element,jakubkrehel
tabular-nums,Typography,font-variant-numeric,tabular-nums,Prevents number width shifts in dynamic content — all digits occupy equal width so counters and prices don't jump,Counters and prices and stats and timers and any changing numbers,jakubkrehel
text-wrap-balance,Typography,text-wrap,balance,Distributes words evenly across lines in headings — prevents orphan words on the last line,Headings and titles — NOT body text (balance can look odd on paragraphs),jakubkrehel
text-wrap-pretty,Typography,text-wrap,pretty,Prevents orphan words at end of paragraphs by adjusting line breaks — less aggressive than balance,Body paragraphs and descriptions — complement to balance on headings,jakubkrehel
transition-specificity,Performance,transition,name exact properties,Never use transition: all — it animates properties you did not intend and causes layout thrash. Always list specific properties,All elements with transitions — e.g. transition: transform 200ms ease-out and opacity 200ms ease-out,jakubkrehel
will-change-sparingly,Performance,will-change,only GPU-compositable,Only use will-change on transform and opacity — using it on other properties wastes memory and can cause worse performance,Elements with frequent animations — remove will-change when animation completes,jakubkrehel
layered-shadows,Depth,box-shadow,multiple transparent layers,"Use 2-3 shadow layers at different offsets and opacities instead of one solid shadow — creates more natural depth. E.g. 0 1px 2px rgba(0,0,0,0.07) and 0 4px 8px rgba(0,0,0,0.05)",Cards and elevated surfaces — replaces solid borders for depth,jakubkrehel
button-press-scale,Interaction,transform,scale(0.96) on :active,Tactile press feedback — button visually compresses on click. Never go below 0.95 (feels broken). 0.96-0.97 is the sweet spot,All interactive buttons and clickable cards,emilkowalski + jakubkrehel
optical-alignment,Geometry,manual,adjust visually not mathematically,Some elements look misaligned even when pixel-perfect — optical alignment means adjusting by eye. Play icons need right-shift and triangles need vertical offset,Icons inside circles and play buttons and asymmetric shapes and logos next to text,jakubkrehel
