rule_id,severity,category,rule,reason,applies_to
wp-theme-bleed,critical,deployment,WordPress theme CSS leaks into React app -- must use #root scoping and display:none on .site-header .site-footer .entry-title,SS design system had invisible theme elements overlaying React content. Fix: important: '#root' in tailwind.config + CSS overrides in index.css,sellersessions wp deploys
stitch-text-drift,high,content,Stitch rewrites copy on every generation -- always compare output text against spec before accepting,Stitch optimises for visual balance not content accuracy. Lost pricing and dates in SS Live rebuild.,stitch-generated pages
contrast-ratio,critical,accessibility,Text contrast must meet WCAG AA (4.5:1 body 3:1 large). Test: #D2D2D2 on #0C0322 = 11.8:1 PASS. #9CA3AF on #0C0322 = 7.2:1 PASS.,Legal requirement. SS tertiary text (#9CA3AF) on dark bg still passes but is the floor.,all projects
cta-visibility,high,conversion,CTA buttons must contrast against their section background by at least 3:1. Gold #FBBF24 on #0C0322 = 12.6:1.,Low-contrast CTAs kill conversion. SS gold on purple-dark is the benchmark.,all landing pages
font-loading,medium,performance,Always use display=swap in Google Fonts URL. Fallback stack must include system-ui.,FOIT (flash of invisible text) on slow connections. Both SS and Databrill systems use display=swap.,all projects
mobile-touch-target,high,accessibility,Touch targets minimum 44x44px. Buttons py-3 px-6 minimum. Links in nav need adequate spacing.,Failed usability test on SS mobile nav with small tap targets.,mobile layouts
scroll-animation-reduced,medium,accessibility,Respect prefers-reduced-motion. Databrill has useReducedMotion hook. Disable parallax and auto-play for motion-sensitive users.,Legal accessibility requirement. Databrill already implements this.,animated pages
wp-rocket-defer,high,deployment,WP Rocket defers JS via lazy load -- needs user interaction to trigger. Test pages with JS disabled to check above-fold content.,SS Live 2026 page was blank until scroll on first load. WP Rocket conflict.,sellersessions wp deploys
grid-parity,medium,layout,Never leave an odd card in a grid. 2-col needs even count. 3-col needs multiple of 3. One orphan card looks broken.,SS Live 2026 spec rule. Orphan cards create visual imbalance.,card grids
section-padding,low,layout,Sections need py-16 md:py-24 minimum (SS) or py-32 (Databrill Stitch). Cramped sections feel cheap.,Both design systems use generous section padding as a premium signal.,all landing pages
opaque-cards-stacked,high,layout,Card backgrounds must be fully opaque (#2F0453 or #1A1A1A) when cards overlap or fan — never use rgba/translucent backgrounds in stacked layouts,Text bleed from fanned cards behind makes content unreadable. Discovered in CardStack carousel build.,stacked/fanned card layouts
landmark-roles,high,accessibility,Use semantic landmark roles: main nav header footer aside. Screen readers use these for page navigation. Every page needs at least main.,Screen reader users navigate by landmarks. Without them the page is a flat wall of content.,all pages
skip-link,medium,accessibility,First focusable element should be a 'Skip to main content' link. Visible on focus hidden otherwise.,Keyboard users shouldn't have to tab through 20 nav links to reach content.,all pages with navigation
heading-hierarchy,high,accessibility,Headings must follow h1 > h2 > h3 order. Never skip levels (h1 then h3). One h1 per page.,Screen readers build a document outline from headings. Skipped levels break navigation.,all pages
form-label-placement,medium,accessibility,Labels above inputs (not beside or inside as placeholder). Required fields marked with asterisk (*) plus legend.,Labels-as-placeholders disappear on focus — user forgets what field is for. Beside-labels slow scanning.,all forms
color-not-sole-indicator,high,accessibility,Don't use color alone to convey information. Add icons text or patterns alongside color coding.,8% of men are color-blind. Red/green error/success coloring fails without icons or text labels.,status indicators + form validation + charts
error-announcement,high,accessibility,Errors must be announced to screen readers. Use role='alert' or aria-live='assertive' on error containers.,Screen reader users don't see visual error styling. Without announcement they don't know something failed.,forms + validation + toasts
