technique,category,description,where_to_apply,implementation_hint,impact,reference
section-banding,Depth & Banding,Alternating background shades with gradient transitions between sections,All page sections,"Alternate between 2-3 dark shades (e.g. #0C0322 → #1a1a2e → #0f0f23) with soft gradient blends at section boundaries",high,n8n.io landing page
background-texture,Depth & Banding,Subtle noise or dot-grid pattern layered behind sections,Hero and key sections,"CSS noise pattern or SVG dot-grid at low opacity (0.03-0.08). Adds tactile depth without distraction",medium,stripe.com
gradient-mesh-atmosphere,Depth & Banding,Radial gradient blobs positioned behind content sections,Hero and feature sections,"Large soft radial gradients (brand colours at 10-20% opacity) offset from centre. Creates atmosphere without competing with content",high,linear.app
parallax-depth,Depth & Banding,Subtle scroll offset on background elements creating layered depth,Background elements and decorative shapes,"Background shapes move at 0.3-0.5x scroll speed. Foreground stays fixed. Creates spatial depth",low,apple.com product pages
type-scale-drama,Typography & Hierarchy,Massive display type vs small body text creating strong visual weight contrast,Headlines vs body text,"Display headlines at 4-6rem with tight letter-spacing. Body at 1rem-1.125rem. The gap creates hierarchy without colour",high,n8n.io hero section
stat-grid-numerals,Typography & Hierarchy,Large standalone numbers in cards rather than inline statistics,Stats and social proof sections,"Numbers at 3-4rem bold in cards. Labels below at 0.875rem. Grid layout 3-4 across",high,conference and SaaS landing pages
badge-chips,Typography & Hierarchy,Small coloured label chips for categories or session types,Speaker cards and schedule items,"Pill-shaped badges with category colour + white text. Consistent per category across page",medium,tech conference sites
image-cards,Card & Component Polish,Full-bleed image cards with overlay text instead of text-only cards,Speaker bios and testimonials,"Image fills card. Dark gradient overlay bottom 40%. Name and title over gradient. Rounded corners",high,n8n.io team section
colour-bar-labels,Card & Component Polish,Thin coloured strip on card edge indicating category,Schedule items and speaker cards,"3-4px left border or top border in category colour. Subtle but scannable",medium,conference agenda pages
hover-lift-shadow,Card & Component Polish,Cards lift and shadow deepens on hover,All interactive cards,"translateY(-4px) + shadow increase on hover. 200ms ease transition",medium,stripe.com pricing cards
glass-overlay,Card & Component Polish,Backdrop-blur frosted glass effect on image overlays,Hero overlays and modal backgrounds,"backdrop-filter: blur(12px) + semi-transparent background. Adds depth without hiding content",medium,linear.app
timeline-phases,Layout Upgrades,Visual phase bands replacing flat timeline lists,Schedule and agenda sections,"Colour-coded phase bands (Morning/Midday/Afternoon/Evening). Each phase has distinct background shade and label",high,tech conference sites
proof-elevation,Layout Upgrades,Testimonials and social proof placed near CTAs not buried at page bottom,Testimonials repositioned near pricing or CTA sections,"Pull 1-2 strongest quotes into a callout block directly above or beside the primary CTA",high,conversion optimization best practice
bento-asymmetry,Layout Upgrades,Mixed column-span grids instead of uniform card grids,Feature sections and content grids,"Grid with mixed spans: some cards 2-col some 1-col. Creates visual rhythm and hierarchy within the grid",medium,apple.com and bento UI trend
split-hero,Layout Upgrades,Text on one side and visual on the other instead of centred stack,Hero section,"Left-aligned headline + subtext + CTA. Right side: product screenshot or visual. 50/50 or 60/40 split",medium,n8n.io hero
count-up-stats,Micro-Interactions,Numbers animate counting up when they enter the viewport,Stats and social proof sections,"IntersectionObserver triggers count animation from 0 to target. Duration 1.5-2s with easing",medium,conference and SaaS sites
scroll-reveal-stagger,Micro-Interactions,Elements fade up with staggered delay as they scroll into view,All card sections and content blocks,"Each child element delays 50-100ms after previous. Fade from opacity 0 + translateY(20px). IntersectionObserver trigger",medium,linear.app and stripe.com
hover-glow-intensify,Micro-Interactions,Glow shadow increases in intensity on hover,Cards with existing glow effects,"box-shadow glow radius and opacity increase on hover. 300ms transition. Pairs with existing glow-card system",low,custom effect
cta-pulse,Micro-Interactions,Subtle pulse or glow animation on primary call-to-action button,Primary CTA buttons,"Gentle box-shadow pulse animation (2s infinite). Not bouncing — just glow breathing. Draws eye without annoying",low,SaaS landing pages
icon-animation,Micro-Interactions,Icon state transitions with opacity + scale + blur combination,Icon buttons and toggle states,"opacity: 0→1, scale: 0.25→1, filter: blur(4px→0px). 200ms cubic-bezier. Combine all three for polished icon swap",high,emilkowalski + jakubkrehel
concentric-radius,Card & Component Polish,Mathematically correct nested border radius (outer = inner + padding),Cards inside cards and nested rounded containers,"Calculate outer radius from inner radius + padding gap. Prevents the 'pinched corner' look on nested elements",medium,jakubkrehel
shadow-depth,Depth & Banding,Multiple transparent shadow layers replacing single solid borders,"Cards, elevated surfaces, and section dividers","2-3 box-shadow layers at different offsets and opacities. E.g. 0 1px 2px rgba(0,0,0,0.07), 0 4px 8px rgba(0,0,0,0.05). More natural than borders",medium,jakubkrehel
font-smoothing,Typography & Hierarchy,Antialiased font rendering for crisper text on dark backgrounds,Global — body or root element,"-webkit-font-smoothing: antialiased. Prevents subpixel rendering which blurs text on dark backgrounds. Apply globally",low,jakubkrehel
anti-ai-check,Evaluation,Audit page against anti-patterns.csv — check for generic AI fonts/colors/layouts/decorations,Whole page audit during REFINE,"Score each row in anti-patterns.csv as PASS/FAIL. Flag: default fonts, pure colors, card-in-card, unjustified decoration, same-grid-everywhere",high,OilOil + Bencium
performance-check,Evaluation,Audit page against performance.csv — estimate Core Web Vitals and check asset optimization,Whole page audit during REFINE,"Score against LCP/CLS/INP thresholds. Check: image sizes/formats, font loading, render-blocking resources, bundle size, code-splitting",high,Cloudflare web-perf
