pattern_id,category,rule,when_to_apply,implementation,priority
progressive-disclosure,information,Show only what's needed now. Reveal details on demand via expand/collapse or drill-down. Don't overwhelm with everything upfront.,Feature lists with 6+ items. FAQ sections. Detailed product specs. Settings panels.,Accordion components. 'Show more' links. Tabbed interfaces. Expandable cards. Default to collapsed state.,high
system-feedback,responsiveness,Every user action needs visible feedback within 100ms. Loading success error and empty states must all be designed.,Any interactive element: buttons forms submissions searches filters.,Button: loading spinner + disabled state during async. Toast on success. Inline error on failure. Skeleton screen while loading.,critical
affordance-signifiers,interaction,Clickable elements must look clickable. Non-clickable elements must not look clickable. Visual appearance must match function.,All interactive elements. Links buttons tabs toggles cards-as-links.,cursor:pointer on clickables. Underline or color on text links. Hover state change. Disabled state visually distinct (opacity 50%).,critical
error-prevention,safety,Prevent errors before they happen rather than recovering after. Validate early. Confirm destructive actions. Disable invalid options.,Forms with validation. Delete/remove actions. Irreversible operations. Payment flows.,Inline validation on blur. Disable submit until valid. 'Are you sure?' for deletes. Type-ahead suggestions to prevent typos.,high
error-recovery,safety,When errors occur: explain what went wrong + suggest how to fix it + preserve user input. Never clear the form on error.,Form submissions. API failures. 404 pages. Permission errors. Timeout states.,Error message directly below the field. Keep all entered data. Suggest corrections. Provide 'try again' action.,high
five-states,completeness,Every data-driven component must handle 5 states: loading (skeleton) + empty (helpful message) + error (recovery action) + success (data) + permission-denied.,Any component that fetches or displays dynamic data. Lists tables dashboards profiles.,Design all 5 states explicitly. Loading: skeleton matching content shape. Empty: illustration + helpful text + CTA. Error: message + retry button.,high
direct-manipulation,engagement,Let users interact directly with content when possible. Drag to reorder. Click to edit inline. Resize by dragging edges.,Lists that users reorder. Editable content. Resizable panels. Sortable tables.,react-beautiful-dnd for drag. contentEditable for inline edit. CSS resize for panels. Click-to-sort table headers.,medium
undo-over-confirm,flow,Prefer undo after action over confirmation before action. 'Email sent. Undo (5s)' is better than 'Are you sure you want to send?',Non-destructive actions: sending messages archiving moving items changing settings.,Toast with undo button + countdown. Delayed execution (5s buffer). Soft-delete with recovery period.,medium
form-validation-timing,forms,Validate on blur (leaving field) not only on submit. Show errors inline directly below the relevant field. Mark required fields clearly.,All forms with validation rules. Registration. Checkout. Settings. Profile editing.,onBlur handler validates field. Error appears below input in red. Required fields marked with asterisk + legend.,high
sensible-defaults,efficiency,Pre-fill with smart defaults. Remember last selections. Reduce typing. Auto-detect what you can (timezone country currency).,Forms dropdowns date-pickers location-based content language selection.,Default country from IP. Default date to today. Remember last-used options in localStorage. Auto-format phone numbers.,medium
task-completion-3s,efficiency,Primary task achievable in < 3 seconds from page load. One clear CTA per viewport. Don't make users hunt for the main action.,Landing pages. Product pages. Checkout flows. Sign-up forms.,Hero CTA visible without scroll. Single primary action per section. Reduce steps to complete core task. Pre-fill where possible.,high
social-proof-placement,conversion,Place testimonials and trust signals near decision points (pricing CTAs sign-up forms) not in isolated sections far from the action.,Pricing sections. Sign-up flows. Checkout pages. Any page with a conversion CTA.,Inline quote near pricing card. Logo bar above CTA section. Star rating next to 'Buy' button. Case study link beside enterprise CTA.,high
