tactic_id,database_order,guide_heading_number,source_order,tactic_name,tactic_category,best_for,avoid_for,core_strategy,visual_transformation,required_user_inputs,optional_user_inputs,standalone_json_prompt,customer_facing_prompt,negative_prompt,productpinion_test_hypothesis,what_to_measure,expected_ctr_impact,difficulty,internal_notes,source_url
MI-001,1,1,1,Megalabel It,Bundle value signal,"bundles, kits, two-packs, multi-piece offers",single-item products or premium products where a large label would cheapen the image,Visually group multiple items as one cohesive offer and make the main value proposition readable from the SERP.,"Add a large contiguous banner, ribbon, or wrap that spans across the bundle and carries the strongest offer message.",offer_message; bundle_quantity,supporting_claims; brand_colors; key_ingredients,"{""task"":""edit_product_main_image"",""tactic"":""Megalabel It"",""input_image"":""{{customer_product_image}}"",""objective"":""Visually group multiple items as one cohesive offer and make the main value proposition readable from the SERP."",""required_user_inputs"":[""offer_message"",""bundle_quantity""],""optional_user_inputs"":[""supporting_claims"",""brand_colors"",""key_ingredients""],""edit_instructions"":{""primary_visual_change"":""Add a large contiguous banner, ribbon, or wrap that spans across the bundle and carries the strongest offer message."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""large banner obscuring product identity"",""misleading pack count"",""cluttered label text""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Megalabel It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Visually group multiple items as one cohesive offer and make the main value proposition readable from the SERP."",
  ""required_user_inputs"": [
    ""offer_message"",
    ""bundle_quantity""
  ],
  ""optional_user_inputs"": [
    ""supporting_claims"",
    ""brand_colors"",
    ""key_ingredients""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a large contiguous banner, ribbon, or wrap that spans across the bundle and carries the strongest offer message."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""large banner obscuring product identity"",
    ""misleading pack count"",
    ""cluttered label text""
  ]
}",large banner obscuring product identity; misleading pack count; cluttered label text,"If the product is a bundle, adding a large unifying offer label will improve perceived value and increase preference over a plain bundle shot.","CTR preference, perceived value, message recall, confusion about quantity",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-002,2,2,2,Humanize It,Use context and scale,"apparel, accessories, beauty, body-contact products",products where a model/body part could distract from the item or create fit ambiguity,"Help shoppers understand fit, scale, body placement, and real-world use immediately.",Show the product being worn or held on the relevant body part while preserving the product as the main subject.,product_use_area,model_demographic; skin_tone; pose; styling_direction,"{""task"":""edit_product_main_image"",""tactic"":""Humanize It"",""input_image"":""{{customer_product_image}}"",""objective"":""Help shoppers understand fit, scale, body placement, and real-world use immediately."",""required_user_inputs"":[""product_use_area""],""optional_user_inputs"":[""model_demographic"",""skin_tone"",""pose"",""styling_direction""],""edit_instructions"":{""primary_visual_change"":""Show the product being worn or held on the relevant body part while preserving the product as the main subject."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""sexualized pose"",""unrealistic fit"",""hiding important product details""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Humanize It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Help shoppers understand fit, scale, body placement, and real-world use immediately."",
  ""required_user_inputs"": [
    ""product_use_area""
  ],
  ""optional_user_inputs"": [
    ""model_demographic"",
    ""skin_tone"",
    ""pose"",
    ""styling_direction""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Show the product being worn or held on the relevant body part while preserving the product as the main subject."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""sexualized pose"",
    ""unrealistic fit"",
    ""hiding important product details""
  ]
}",sexualized pose; unrealistic fit; hiding important product details,Showing the product on a relevant person or body part will reduce imagination burden and lift click preference versus an isolated product shot.,"CTR preference, fit confidence, scale clarity, perceived usefulness",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-003,3,3,3,Add Packaging,Information billboard,"products with boxes, kits, electronics, supplements, accessories",products where added packaging would imply an included box that materially changes expectations,Use packaging behind the product as a value-proposition billboard.,Place a clean product box behind or beside the item with benefit-led copy and category keywords visible.,primary_benefit; product_category,package_copy; box_style; brand_colors,"{""task"":""edit_product_main_image"",""tactic"":""Add Packaging"",""input_image"":""{{customer_product_image}}"",""objective"":""Use packaging behind the product as a value-proposition billboard."",""required_user_inputs"":[""primary_benefit"",""product_category""],""optional_user_inputs"":[""package_copy"",""box_style"",""brand_colors""],""edit_instructions"":{""primary_visual_change"":""Place a clean product box behind or beside the item with benefit-led copy and category keywords visible."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""overly premium fictional packaging"",""unreadable tiny copy"",""covering product""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Add Packaging"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use packaging behind the product as a value-proposition billboard."",
  ""required_user_inputs"": [
    ""primary_benefit"",
    ""product_category""
  ],
  ""optional_user_inputs"": [
    ""package_copy"",
    ""box_style"",
    ""brand_colors""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Place a clean product box behind or beside the item with benefit-led copy and category keywords visible."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""overly premium fictional packaging"",
    ""unreadable tiny copy"",
    ""covering product""
  ]
}",overly premium fictional packaging; unreadable tiny copy; covering product,Adding a packaging billboard will make benefits more scannable and improve preference over a product-only image.,"CTR preference, benefit comprehension, trust, perceived completeness",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-004,4,4,4,Keywordtize It,Search intent match,products with high-intent keywords or must-see benefits,products where keyword claims are unverified or confusing,Make the shopper see the exact searched-for benefit directly in the image.,"Add one critical non-branded keyword or benefit onto existing packaging, label space, or a clear callout area.",target_keyword_or_benefit,supporting_claim; preferred_label_location,"{""task"":""edit_product_main_image"",""tactic"":""Keywordtize It"",""input_image"":""{{customer_product_image}}"",""objective"":""Make the shopper see the exact searched-for benefit directly in the image."",""required_user_inputs"":[""target_keyword_or_benefit""],""optional_user_inputs"":[""supporting_claim"",""preferred_label_location""],""edit_instructions"":{""primary_visual_change"":""Add one critical non-branded keyword or benefit onto existing packaging, label space, or a clear callout area."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""keyword stuffing"",""fake certifications"",""illegible text"",""changing brand name""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Keywordtize It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Make the shopper see the exact searched-for benefit directly in the image."",
  ""required_user_inputs"": [
    ""target_keyword_or_benefit""
  ],
  ""optional_user_inputs"": [
    ""supporting_claim"",
    ""preferred_label_location""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add one critical non-branded keyword or benefit onto existing packaging, label space, or a clear callout area."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""keyword stuffing"",
    ""fake certifications"",
    ""illegible text"",
    ""changing brand name""
  ]
}",keyword stuffing; fake certifications; illegible text; changing brand name,A visible search-intent keyword on the product/packaging will increase relevance perception and click preference.,"CTR preference, relevance rating, message recall",High,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-005,5,5,5,Tilt It,Pattern interrupt,"bottles, boxes, tools, single-product hero shots",products that rely on precise alignment or dimensions,Break visual sameness in the SERP with subtle dynamic tension.,"Tilt the product 5 to 15 degrees while keeping it large, legible, and fully visible.",none beyond source image,tilt_direction; tilt_degrees,"{""task"":""edit_product_main_image"",""tactic"":""Tilt It"",""input_image"":""{{customer_product_image}}"",""objective"":""Break visual sameness in the SERP with subtle dynamic tension."",""required_user_inputs"":[],""optional_user_inputs"":[""tilt_direction"",""tilt_degrees""],""edit_instructions"":{""primary_visual_change"":""Tilt the product 5 to 15 degrees while keeping it large, legible, and fully visible."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""warping label"",""extreme angle"",""cropped corners""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Tilt It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Break visual sameness in the SERP with subtle dynamic tension."",
  ""required_user_inputs"": [],
  ""optional_user_inputs"": [
    ""tilt_direction"",
    ""tilt_degrees""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Tilt the product 5 to 15 degrees while keeping it large, legible, and fully visible."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""warping label"",
    ""extreme angle"",
    ""cropped corners""
  ]
}",warping label; extreme angle; cropped corners,A subtle tilt will make the listing more noticeable than a straight-on product shot without changing the offer.,"CTR preference, attention/noticeability, perceived dynamism",Medium,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-006,6,6,6,Hang Tag It,Floating value callout,"products with hidden benefits, color options, variants, tools, accessories",minimalist premium products where tags would reduce brand feel,"Create a compact mini-billboard for value, variants, or options.",Add a small hang tag attached to or visually near the product with one concise benefit or variant cue.,tag_message,tag_shape; swatch_colors; attachment_point,"{""task"":""edit_product_main_image"",""tactic"":""Hang Tag It"",""input_image"":""{{customer_product_image}}"",""objective"":""Create a compact mini-billboard for value, variants, or options."",""required_user_inputs"":[""tag_message""],""optional_user_inputs"":[""tag_shape"",""swatch_colors"",""attachment_point""],""edit_instructions"":{""primary_visual_change"":""Add a small hang tag attached to or visually near the product with one concise benefit or variant cue."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""floating tag that feels disconnected"",""too much copy"",""fake discount language""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Hang Tag It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Create a compact mini-billboard for value, variants, or options."",
  ""required_user_inputs"": [
    ""tag_message""
  ],
  ""optional_user_inputs"": [
    ""tag_shape"",
    ""swatch_colors"",
    ""attachment_point""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a small hang tag attached to or visually near the product with one concise benefit or variant cue."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""floating tag that feels disconnected"",
    ""too much copy"",
    ""fake discount language""
  ]
}",floating tag that feels disconnected; too much copy; fake discount language,A hang tag callout will improve value comprehension and variant awareness versus a plain image.,"CTR preference, variant awareness, benefit recall",Medium,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-007,7,7,7,Sunburst It,Depth and attention,"flat product shots, bottles, boxes, hero images needing energy",products where glow would create a false powered/electronic implication,Add depth and visual importance while keeping the product central.,Place a subtle warm or brand-colored halo/sunburst behind the product with soft studio lighting.,none beyond source image,glow_color; intensity,"{""task"":""edit_product_main_image"",""tactic"":""Sunburst It"",""input_image"":""{{customer_product_image}}"",""objective"":""Add depth and visual importance while keeping the product central."",""required_user_inputs"":[],""optional_user_inputs"":[""glow_color"",""intensity""],""edit_instructions"":{""primary_visual_change"":""Place a subtle warm or brand-colored halo/sunburst behind the product with soft studio lighting."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""harsh starburst"",""nightclub lighting"",""obscuring silhouette""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Sunburst It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Add depth and visual importance while keeping the product central."",
  ""required_user_inputs"": [],
  ""optional_user_inputs"": [
    ""glow_color"",
    ""intensity""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Place a subtle warm or brand-colored halo/sunburst behind the product with soft studio lighting."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""harsh starburst"",
    ""nightclub lighting"",
    ""obscuring silhouette""
  ]
}",harsh starburst; nightclub lighting; obscuring silhouette,A subtle glow behind the product will make it feel more dimensional and attention-grabbing.,"CTR preference, perceived quality, visual standout",Medium,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-008,8,8,8,Solid Color It,Color differentiation,"supplements, food, beauty, bottles, jars, packaging-led products",transparent products where contents visibility is the main trust driver,Use bold opaque packaging color as a SERP signature.,Re-render or recolor the primary container/packaging in a bold solid color while preserving brand readability.,desired_container_color,brand_palette; competitor_color_context,"{""task"":""edit_product_main_image"",""tactic"":""Solid Color It"",""input_image"":""{{customer_product_image}}"",""objective"":""Use bold opaque packaging color as a SERP signature."",""required_user_inputs"":[""desired_container_color""],""optional_user_inputs"":[""brand_palette"",""competitor_color_context""],""edit_instructions"":{""primary_visual_change"":""Re-render or recolor the primary container/packaging in a bold solid color while preserving brand readability."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""changing product identity too far"",""unreadable label"",""clashing colors""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Solid Color It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use bold opaque packaging color as a SERP signature."",
  ""required_user_inputs"": [
    ""desired_container_color""
  ],
  ""optional_user_inputs"": [
    ""brand_palette"",
    ""competitor_color_context""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Re-render or recolor the primary container/packaging in a bold solid color while preserving brand readability."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""changing product identity too far"",
    ""unreadable label"",
    ""clashing colors""
  ]
}",changing product identity too far; unreadable label; clashing colors,A bold solid package color will increase visual distinctiveness against generic competitor packaging.,"CTR preference, recognition, standout rating",Medium,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-009,9,9,9,Unpackage It,Product transparency,"balms, jars, tubs, creams, products where texture matters",sealed goods where opening would confuse hygiene or contents,Remove uncertainty by showing what is inside the container.,Show the lid/cap removed and expose visible product texture or color inside.,none beyond source image,texture_description; lid_position,"{""task"":""edit_product_main_image"",""tactic"":""Unpackage It"",""input_image"":""{{customer_product_image}}"",""objective"":""Remove uncertainty by showing what is inside the container."",""required_user_inputs"":[],""optional_user_inputs"":[""texture_description"",""lid_position""],""edit_instructions"":{""primary_visual_change"":""Show the lid/cap removed and expose visible product texture or color inside."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""messy spill"",""unrealistic fill level"",""hiding brand label""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Unpackage It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Remove uncertainty by showing what is inside the container."",
  ""required_user_inputs"": [],
  ""optional_user_inputs"": [
    ""texture_description"",
    ""lid_position""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Show the lid/cap removed and expose visible product texture or color inside."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""messy spill"",
    ""unrealistic fill level"",
    ""hiding brand label""
  ]
}",messy spill; unrealistic fill level; hiding brand label,Showing the opened product will increase transparency and confidence versus a sealed container image.,"CTR preference, texture clarity, purchase confidence",Medium,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-010,10,10,10,Ingredient It,Ingredient proof,"supplements, health foods, natural products, beauty, consumables",products with ingredients that are visually unappealing or not central to purchase,Build trust by making the key ingredients instantly visible.,"Place clean, realistic hero ingredients beside or around the product without overpowering the main item.",key_ingredients,ingredient_quantity; arrangement_style,"{""task"":""edit_product_main_image"",""tactic"":""Ingredient It"",""input_image"":""{{customer_product_image}}"",""objective"":""Build trust by making the key ingredients instantly visible."",""required_user_inputs"":[""key_ingredients""],""optional_user_inputs"":[""ingredient_quantity"",""arrangement_style""],""edit_instructions"":{""primary_visual_change"":""Place clean, realistic hero ingredients beside or around the product without overpowering the main item."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""inaccurate ingredients"",""food mess"",""ingredient dominance over product""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Ingredient It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Build trust by making the key ingredients instantly visible."",
  ""required_user_inputs"": [
    ""key_ingredients""
  ],
  ""optional_user_inputs"": [
    ""ingredient_quantity"",
    ""arrangement_style""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Place clean, realistic hero ingredients beside or around the product without overpowering the main item."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""inaccurate ingredients"",
    ""food mess"",
    ""ingredient dominance over product""
  ]
}",inaccurate ingredients; food mess; ingredient dominance over product,Displaying recognizable ingredients will improve naturalness perception and click preference.,"CTR preference, ingredient recognition, trust",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
