metric,category,threshold_good,threshold_poor,how_to_check,fix_pattern,applies_to
LCP,core-web-vital,< 2.5s,> 4s,Lighthouse or Chrome DevTools Performance tab. Check largest contentful paint element.,Preload hero image. Use srcset + WebP. Inline critical CSS. Remove render-blocking resources.,all pages
CLS,core-web-vital,< 0.1,> 0.25,Lighthouse CLS score. Check for elements shifting after load.,Set explicit width/height on images and embeds. Reserve space for async content. Use font-display:swap.,all pages
INP,core-web-vital,< 200ms,> 500ms,Chrome DevTools or web-vitals library. Measures interaction responsiveness.,Avoid long tasks (>50ms). Break heavy JS into chunks. Use requestIdleCallback for non-urgent work.,interactive pages
bundle-size,javascript,< 200KB gzipped,> 500KB gzipped,npm run build then check dist/ output. Or use source-map-explorer.,Code-split by route. Tree-shake unused code. Replace heavy libs (moment→dayjs). Lazy-load below-fold components.,all React apps
image-format,assets,WebP or AVIF with lazy-load and srcset,Uncompressed PNG/JPG > 200KB without lazy-load,Check Network tab for image sizes. Audit with Lighthouse.,Convert to WebP/AVIF. Add loading=lazy to below-fold images. Use srcset for responsive sizes. Compress to <100KB.,all pages with images
font-loading,assets,display:swap + preload + 2 weights max,No swap + no preload + 4+ font weights,Check Google Fonts URL for display=swap. Count font files in Network tab.,Add display=swap to @font-face. Preload critical fonts. Limit to 2 weights per family. Use system-ui fallback.,all pages
render-blocking,loading,0 render-blocking CSS/JS in critical path,CSS/JS in head without async or defer,Lighthouse 'Eliminate render-blocking resources'. Check head tag.,Inline critical CSS (<14KB). async/defer on scripts. Preload critical resources. Move non-critical CSS to footer.,all pages
waterfall-depth,network,≤ 2 sequential requests before first paint,> 4 chained dependent requests,Chrome DevTools Network waterfall view. Look for long sequential chains.,Use Promise.all() for independent fetches. Preload/prefetch known resources. Reduce redirect chains.,all pages
content-shift-prevention,layout,Explicit dimensions on all media and embeds,No width/height on images or iframes causing reflow,Check for images without width/height attributes. Test with slow 3G throttle.,Always set width + height on img/video/iframe. Use aspect-ratio CSS. Reserve skeleton space for async content.,all pages
tree-shaking,javascript,Direct module imports only,Barrel file re-exports importing entire packages,Check for index.ts barrel files. Use source-map-explorer to find unused code.,Import from specific module paths: import { Button } from './Button' not from './components'.,React apps
code-splitting,javascript,Route-based lazy loading + dynamic imports for heavy components,Single monolithic bundle > 300KB,Check if React.lazy/Suspense or dynamic import() used for routes.,Wrap routes in React.lazy(). Use dynamic import() for modals/charts/heavy features. Vite handles chunking automatically.,React SPAs
cache-strategy,network,Hashed filenames with immutable Cache-Control headers,No-cache on static assets or no content hashing,Check response headers for Cache-Control. Verify filenames include hash.,Configure build tool for content-hashed filenames. Set Cache-Control: public max-age=31536000 immutable on static assets.,deployed sites
