palette_name,industry,theme,primary,secondary,cta,background,text,border,mood,source
ss-dark-purple,events/podcast,dark,#461499,#753EF7,#FBBF24,#0C0322,#FAFAFC,#1F1F1F,premium authority,sellersessions-design-system
ss-dark-orange,events/podcast,dark,#461499,#F97316,#FBBF24,#0C0322,#FAFAFC,#1F1F1F,energetic urgency,sellersessions-design-system
databrill-blue,saas/data,light,#2563EB,#3B82F6,#2563EB,#FFFFFF,#1E1E2F,#E5E7EB,clean trust,databrill-design-system
databrill-stitch-dark,saas/data,dark,#ff7d3b,#8b5cf6,#ff7d3b,#0A0C10,#FFFFFF,rgba(255 255 255 / 0.12),premium modern,databrill-stitch-build
fintech-trust,fintech,light,#0F766E,#14B8A6,#0F766E,#FFFFFF,#1E293B,#E2E8F0,stability trust,generic
ecommerce-bold,ecommerce,light,#DC2626,#F97316,#DC2626,#FFFFFF,#111827,#E5E7EB,urgency conversion,generic
saas-indigo,saas/b2b,light,#4F46E5,#818CF8,#4F46E5,#FFFFFF,#1E1E2F,#E5E7EB,modern professional,generic
saas-dark,saas/b2b,dark,#6366F1,#818CF8,#22C55E,#0F172A,#F8FAFC,#1E293B,developer premium,generic
health-green,health/wellness,light,#16A34A,#4ADE80,#16A34A,#FFFFFF,#1E293B,#E5E7EB,calm vitality,generic
creative-gradient,creative/agency,dark,#EC4899,#8B5CF6,#F59E0B,#0F0F23,#FAFAFC,#2D2D3F,bold expressive,generic
education-warm,education,light,#2563EB,#F59E0B,#2563EB,#FFFBEB,#1E293B,#E5E7EB,approachable warm,generic
podcast-dark,media/podcast,dark,#9333EA,#EC4899,#FBBF24,#0A0A0A,#FAFAFC,#1F1F1F,entertainment energy,generic
tiktok-ak-visualss-9366-combo1,inspiration,dark,#111111,#F4EDE4,,#111111,#F4EDE4,,color combo,tiktok/ak.visualss
tiktok-ak-visualss-9366-combo2,inspiration,light,#5A189A,#FFD60A,,,,,color combo,tiktok/ak.visualss
tiktok-ak-visualss-9366-combo3,inspiration,dark,#023020,#D4A373,,#023020,#D4A373,,color combo,tiktok/ak.visualss
tiktok-ak-visualss-9366-combo4,inspiration,light,#D62828,#FFF3E0,,,,,color combo,tiktok/ak.visualss
tiktok-ayathedesigner-8312,inspiration,light,#E2A7B6,#3F5A83,#C9C5BB,#111312,#434346,#FBF5A5,inspiration,tiktok/ayathedesigner
tiktok-ayathedesigner-4791,design/branding,light,#FF1F,#E9B3FB,#6F00FF,#3B0270,#FF0004,#0083FF,inspiration,tiktok/ayathedesigner
tiktok-brandlet-official-2550-combo1,design/branding,light,#FF6B6B,#FFD93D,,,,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-2550-combo2,design/branding,light,#6A11CB,#2575FC,,#2575FC,#6A11CB,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-2550-combo3,design/branding,light,#696EFF,#F8ACFF,,,,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-2550-combo4,design/branding,dark,#00C9A7,#92FE9D,,#00C9A7,#92FE9D,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4758,saas/tech,mixed,#FFF,#000,#E71F51,#0071E3,,,inspiration,tiktok/brandlet_official
tiktok-brandlet-official-5526,design/branding,light,#F4C4F3,#FC67FA,#DE6161,#2657EB,#EF32D9,#98FFFD,gradient,tiktok/brandlet_official
tiktok-brandlet-official-4358-combo1,design/branding,light,#4FACFE,#00F2FE,,#00F2FE,#4FACFE,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4358-combo2,design/branding,light,#FF0844,#FFB199,,,,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4358-combo3,design/branding,dark,#1488CC,#2B32B2,,#1488CC,#2B32B2,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4358-combo4,design/branding,dark,#1D976C,#93F9B9,,#1D976C,#93F9B9,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4358-combo5,design/branding,light,#FFE259,#FFA751,,,,,color combo,tiktok/brandlet_official
tiktok-brandlet-official-4262,design/branding,light,#4C7766,#EBE,#91736B,#FBF0F4,#ED8F45,#FFEFBC,inspiration,tiktok/brandlet_official
tiktok-brandlet-official-6086,saas/tech,mixed,#9E77ED,#7F56D9,#6941C6,#6366F1,#4F46E5,#4338CA,inspiration,tiktok/brandlet_official
tiktok-brandlet-official-1350,design/branding,light,#161616,#5F5F5F,#D8D7D1,#818181,#FF4A01,#17181D,inspiration,tiktok/brandlet_official
