technique,category,duration_ms,easing,css_example,when_to_use,when_to_avoid,performance_note
button-press,Interaction,100-160,ease-out,"transform: scale(0.96); transition: transform 150ms ease-out",All clickable buttons and interactive elements,Disabled buttons or non-interactive elements,GPU-compositable — transform only
dropdown-open,Entrance,150-250,ease-out,"transform: scaleY(1); opacity: 1; transform-origin: top",Menus and dropdown panels opening,Instant-feedback contexts (autocomplete),Use transform-origin to match trigger location
modal-entrance,Entrance,200-500,"cubic-bezier(0.16, 1, 0.3, 1)","transform: scale(1) translateY(0); opacity: 1",Modals and dialogs appearing,Confirmation dialogs that need immediate response,Longer duration justified by larger visual area
tooltip-show,Entrance,150,ease-out,"opacity: 1; transform: translateY(0)",First tooltip in a group,Secondary tooltips while first is open — skip animation and maintain delay,Very short — must not delay information
stagger-delay,Entrance,100ms per item,ease-out,"transition-delay: calc(var(--i) * 100ms)",Card grids and list items entering view,Lists with 10+ items — cap at 6-8 staggered items,Split content into semantic chunks — stagger per chunk not per item
exit-animation,Exit,150-200,ease-in,"transform: translateY(4px); opacity: 0",Elements leaving the viewport or closing,High-frequency dismissals (notifications auto-close),Use small fixed translateY — never scale down on exit
icon-transition,State Change,200,"cubic-bezier(0.4, 0, 0.2, 1)","opacity: 1; transform: scale(1); filter: blur(0px)",Icon state changes (hamburger→X and toggle states),Static decorative icons,Combine opacity + scale(0.25→1) + blur(4px→0px)
scroll-reveal,Entrance,300-500,ease-out,"transform: translateY(0); opacity: 1",Content blocks entering viewport on scroll,Above-the-fold content — never animate initial view,Use IntersectionObserver — never scroll event listeners
cta-pulse,Attention,2000,infinite,"box-shadow: 0 0 20px rgba(var(--cta), 0.4)",Primary CTA button — one per page maximum,Secondary buttons or when page has >1 animated element,Gentle glow breathing — not bouncing or scaling
high-frequency-ban,Decision,n/a,n/a,Do not animate,n/a,Actions performed 100+ times daily (close tab and save and scroll and type),Animation fatigue — frequent actions must feel instant
gpu-only-rule,Performance,n/a,n/a,"Only animate transform and opacity properties",All animations,Never animate width/height/margin/padding/top/left,Non-compositable properties trigger layout recalc — causes jank
no-ease-in-entry,Easing,n/a,never ease-in,"Use ease-out or cubic-bezier for entries",All entrance animations,ease-in feels sluggish on entry — only valid for exits,ease-in accelerates INTO the screen which feels unnatural
no-scale-zero,Easing,n/a,n/a,"Use scale(0.95) + opacity instead of scale(0)",All scale animations,Never animate from scale(0) — feels like a black hole,scale(0.95) + opacity: 0 looks intentional — scale(0) looks broken
popover-origin,Positioning,n/a,n/a,"transform-origin: [trigger position]",Popovers and tooltips and dropdowns,Modals (centre origin is fine for modals),Scale from the element that triggered the popover — not from centre
interruptibility,Architecture,n/a,n/a,"Use CSS transitions over @keyframes",Interactive UI elements that user can re-trigger,One-time decorative sequences (page load splash),CSS transitions are interruptible — keyframes play to completion
